year,data_as_of,country,EU_share_BEV,EU_share_PHEV,EU_share_H2,EU_share_LPG,EU_share_CNG,EU_share_LNG,EU_fleet_BEV,EU_fleet_PHEV,EU_fleet_H2,EU_fleet_LPG,EU_fleet_CNG,EU_fleet_LNG,EU_fleet_share_BEV,EU_fleet_share_PHEV,EU_fleet_share_H2,EU_fleet_share_LPG,EU_fleet_share_CNG,EU_fleet_share_LNG
2025,2026-03-17,Austria,20.45,9.12,0,0,0.01,NA,275521,103567,53,631,4974,NA,3.72,1.3,0,0.01,0.1,NA
2025,2026-03-17,Belgium,30.21,8.42,0,0.65,0,NA,458742,391964,111,33569,16167,NA,3.72,4.62,0,0.44,0.23,NA
2025,2026-03-17,Bulgaria,4.7,1.07,0,0.1,NA,NA,22536,6830,1,173206,19467,NA,0.57,0.18,0,5.01,0.62,NA
2025,2026-03-17,Croatia,1.83,3.27,NA,1.73,NA,NA,11912,10659,NA,57170,221,NA,0.48,0.37,NA,2.56,0.01,NA
2025,2026-03-17,Cyprus,9.28,4.59,NA,NA,NA,NA,3766,2235,NA,209,NA,NA,0.3,0.19,NA,0.03,NA,NA
2025,2026-03-17,Czech Republic,5.63,4.19,0,2.43,NA,NA,60995,35742,29,130689,27895,NA,0.45,0.31,0,1.73,0.38,NA
2025,2026-03-17,Denmark,63.94,2.41,0.01,NA,NA,NA,562298,130724,14,14,167,NA,11.09,4.04,0,0,0.01,NA
2025,2026-03-17,Estonia,6.28,9.27,0,NA,NA,NA,10530,8055,41,11070,4794,2,0.79,0.28,0,0.81,0.91,NA
2025,2026-03-17,Finland,34.49,18.47,0,NA,0,NA,171207,187909,17,16,17586,NA,2.84,3.87,0,0,0.41,NA
2025,2026-03-17,France,18.17,5.66,0.02,2.87,0.01,NA,1702762,831534,1550,338592,15115,NA,3.03,1.63,0,0.65,0.03,NA
2025,2026-03-17,Germany,18.23,10.16,0,0.44,0,NA,2261582,1263976,1778,325559,82139,NA,3.3,1.84,0,0.6,0.16,NA
2025,2026-03-17,Greece,6.58,7.61,NA,2.99,0.06,NA,30705,38503,NA,222256,6029,NA,0.28,0.37,NA,2.97,0.08,NA
2025,2026-03-17,Hungary,8.4,4.92,NA,0.79,NA,NA,101167,13067,11,27762,3173,NA,1.46,0.26,0,0.56,0.07,NA
2025,2026-03-17,Ireland,16.26,12.28,0,NA,NA,NA,102425,61546,NA,510,181,NA,2.7,1.47,NA,0.02,0.01,NA
2025,2026-03-17,Italy,6.01,5.78,0,8.42,0,NA,404515,386679,59,2862160,992816,NA,0.65,0.63,0,6.03,2.18,NA
2025,2026-03-17,Latvia,7.06,11.16,NA,1.44,0.16,NA,11435,4050,NA,44137,860,NA,1.13,0.16,NA,5.31,0.1,NA
2025,2026-03-17,Lithuania,7.56,9.66,NA,NA,1.5,NA,20737,17318,1,96806,1511,45,0.91,0.68,0,5.43,0.06,0
2025,2026-03-17,Luxembourg,25.18,7.27,0,0.03,NA,NA,39525,18206,5,387,183,NA,6.57,3.4,0,0.07,0.04,NA
2025,2026-03-17,Malta,36.3,5.8,NA,NA,NA,NA,10318,5078,NA,2023,NA,NA,2.07,1.26,NA,0.54,NA,NA
2025,2026-03-17,Netherlands,42.33,18.17,0,0.36,NA,NA,732796,519909,687,117659,5031,8,5.77,3.62,0.01,1.16,0.05,0
2025,2026-03-17,Poland,6.9,5.13,0,2.88,NA,NA,112155,100278,340,3608507,6416,NA,0.32,0.27,0,14.31,0.03,NA
2025,2026-03-17,Portugal,21.73,13.29,0,7.9,NA,NA,232184,167509,7,89826,298,NA,2.39,1.79,0,1.03,0,NA
2025,2026-03-17,Romania,6.09,3.19,NA,12.84,NA,NA,61744,19766,NA,265890,340,NA,0.54,0.18,NA,2.63,0,NA
2025,2026-03-17,Slovakia,4.87,4.1,0,1.66,NA,NA,20315,14217,1,53623,3311,NA,0.51,0.36,NA,1.72,0.11,NA
2025,2026-03-17,Slovenia,10.2,3.07,NA,0.78,NA,NA,23310,5259,NA,9411,311,NA,1.28,0.24,NA,0.65,0.05,NA
2025,2026-03-17,Spain,8.5,9.57,0,4.49,NA,NA,317773,362417,118,219514,22436,NA,0.68,0.76,0,0.56,0.07,NA
2025,2026-03-17,Sweden,35.2,24.42,0,NA,0.45,NA,483348,385548,46,15,40421,NA,6.91,5.61,0,0,0.74,NA
